Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
AKM 204E,Fluid Mechanics,Erdal Kesgin,Wednesday / Wednesday,08:30/12:29 / 13:30/16:29,INB / INB / B202 / B202,0,25,"INS_LS, INSE_LS",30314,2024 - 2025 Yaz Dönemi
ATA 121,Atatürk İlk & İnkılap Trh I,Çağdaş Taylan Salın,Monday / Thursday,10:30/12:59 / 10:30/12:59,MED / MED / -- / --,0,60,"BLG_LS, BLGE_LS, DUI_LS, DUIE_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, GMI_LS, GMIE_LS, KOM_LS, KOME_LS, KON_LS, SECE_LS, YZVE_LS",30189,2024 - 2025 Yaz Dönemi
ATA 121,Atatürk İlk & İnkılap Trh I,Çağdaş Taylan Salın,Tuesday / Friday,10:30/12:59 / 10:30/12:59,MED / MED / -- / --,0,60,"BLG_LS, BLGE_LS, DUI_LS, DUIE_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, GMI_LS, GMIE_LS, KOM_LS, KOME_LS, KON_LS, SECE_LS, YZVE_LS",30190,2024 - 2025 Yaz Dönemi
ATA 121,Atatürk İlk & İnkılap Trh I,Pelin Helvacı,Tuesday / Wednesday,10:30/12:59 / 10:30/12:59,MED / MED / -- / --,0,60,"BLG_LS, BLGE_LS, DUI_LS, DUIE_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, GMI_LS, GMIE_LS, KOM_LS, KOME_LS, KON_LS, SECE_LS, YZVE_LS",30193,2024 - 2025 Yaz Dönemi
ATA 122,Atatürk İlk & İnkılap Trh II,Çağdaş Taylan Salın,Monday / Thursday,15:30/17:59 / 15:30/17:59,MED / MED / -- / --,0,60,"BLG_LS, BLGE_LS, DUI_LS, DUIE_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, GMI_LS, GMIE_LS, KOM_LS, KOME_LS, KON_LS, SECE_LS, YZVE_LS",30191,2024 - 2025 Yaz Dönemi
ATA 122,Atatürk İlk & İnkılap Trh II,Çağdaş Taylan Salın,Tuesday / Friday,15:30/17:59 / 15:30/17:59,MED / MED / -- / --,0,60,"BLG_LS, BLGE_LS, DUI_LS, DUIE_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, GMI_LS, GMIE_LS, KOM_LS, KOME_LS, KON_LS, SECE_LS, YZVE_LS",30192,2024 - 2025 Yaz Dönemi
ATA 122,Atatürk İlk & İnkılap Trh II,Pelin Helvacı,Tuesday / Wednesday,13:30/15:59 / 13:30/15:59,MED / MED / -- / --,0,60,"BLG_LS, BLGE_LS, DUI_LS, DUIE_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, GMI_LS, GMIE_LS, KOM_LS, KOME_LS, KON_LS, SECE_LS, YZVE_LS",30194,2024 - 2025 Yaz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Ahmet Öztopal,Wednesday / Wednesday,09:30/12:29 / 13:30/17:29,MEDC / MEDC / 2D13 / 2D13,0,20,"IBM_LS, MTO_LS",30088,2024 - 2025 Yaz Dönemi
BIL 112E,Intr.to Prog.Language(FORTRAN),Ahmet Öztopal,Thursday / Thursday,09:30/12:29 / 13:30/17:29,MEDC / MEDC / 2D13 / 2D13,0,20,"IBM_LS, MTO_LS",30085,2024 - 2025 Yaz Dönemi
BIL 112E,Intr.to Prog.Language(FORTRAN),Doğa Doğan,Monday / Tuesday,09:30/13:29 / 09:30/12:29,MDB / MDB / B207 / B207,0,25,"JEF_LS, JEFE_LS",30218,2024 - 2025 Yaz Dönemi
BIO 301E,Fundamentals of Biology,Ece Polat,Tuesday / Wednesday,11:30/14:29 / 11:30/15:29,FEB / FEB / D201 / D101,0,55,"CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, EEE_LS, EHB_LS, EHBE_LS, EHS_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, FIZ_LS, FIZE_LS, GID_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEO_LS, JEOE_LS, KIM_LS, KIME_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MET_LS, METE_LS, PET_LS, PETE_LS, TEL_LS",30132,2024 - 2025 Yaz Dönemi
BLG 222E,Computer Organization,Kadir Özlem,Thursday / Thursday,13:30/16:29 / 08:30/12:29,BBB / BBB / -- / --,0,80,"BLG_LS, BLGE_LS, CEN_LS",30307,2024 - 2025 Yaz Dönemi
BLG 223E,Data Structures,Yusuf Hüseyin Şahin,Monday / Monday / Friday / Friday,10:30/12:29 / 13:30/16:29 / 09:30/12:29 / 14:30/15:59,BBB / BBB / BBB / BBB / -- / -- / -- / --,0,80,"BLG_LS, BLGE_LS, CEN_LS",30310,2024 - 2025 Yaz Dönemi
BLG 312E,Computer Operating Systems,Nizamettin Aydın,Tuesday / Wednesday,08:30/12:29 / 08:30/11:29,BBB / BBB / -- / --,0,80,"BLG_LS, BLGE_LS, CEN_LS",30308,2024 - 2025 Yaz Dönemi
BLG 322E,Computer Architecture,Nizamettin Aydın,Tuesday / Wednesday,13:30/16:29 / 13:30/17:29,BBB / BBB / -- / --,0,80,"BLG_LS, BLGE_LS, CEN_LS",30309,2024 - 2025 Yaz Dönemi
CAB 243,Yrd.Çalgı Piyano III,Alper Rumelioğlu,Monday / Tuesday,13:30/16:29 / 10:30/12:29,TMB / TMB / -- / --,0,15,"BST_LS, CAB_LS, CEB_LS, KMP_LS",30291,2024 - 2025 Yaz Dönemi
CAB 244,Yrd.Çalgı Piyano IV,Alper Rumelioğlu,Tuesday / Wednesday,13:30/16:29 / 10:30/12:29,TMB / TMB / -- / --,0,15,"BST_LS, CAB_LS, CEB_LS, KMP_LS",30290,2024 - 2025 Yaz Dönemi
CAB 344,Yrd.Çalgı Piyano VI,Alper Rumelioğlu,Monday / Wednesday,10:30/12:29 / 13:30/16:29,TMB / TMB / -- / --,0,15,"BST_LS, CAB_LS, CEB_LS, KMP_LS",30292,2024 - 2025 Yaz Dönemi
CEV 302E,Biological Processes,"Rüya Taşlı , / Özlem Karahan Özgün",Monday / Wednesday / Thursday,13:30/17:29 / 13:30/17:29 / 10:30/11:59,INB / INB / INB / A203 / A203 / A203,0,25,"CEV_LS, CEVE_LS",30261,2024 - 2025 Yaz Dönemi
CEV 347E,Unit Operations,"Rüya Taşlı , / Özlem Karahan Özgün",Tuesday / Thursday,09:30/13:29 / 13:30/16:29,INB / INB / A203 / A203,0,25,"CEV_LS, CEVE_LS",30264,2024 - 2025 Yaz Dönemi
CHZ 306,Cevher Haz.Akışkanlar Mek.,Birgül Benli,Tuesday / Tuesday,14:30/16:29 / 09:30/12:29,MDB / MDB / -- / --,0,30,"CHZ_LS, CHZ_YD",30217,2024 - 2025 Yaz Dönemi
CHZ 318,Endüstriyel Hammaddeler,Murat Olgaç Kangal,Monday / Monday,13:30/16:29 / 08:30/12:29,MDB / MDB / -- / --,0,50,"CHZ_LS, CHZ_YD, MAD_LS",30214,2024 - 2025 Yaz Dönemi
DEN 325E,Adv. Manufacturing Process,Necip Ünlü,Tuesday / Tuesday,09:00/11:59 / 13:00/16:59,MEDC / MEDC / -- / --,0,40,"DEN_LS, DENE_LS",30198,2024 - 2025 Yaz Dönemi
DFH 278E,Maritime Economics,Sinan Çakır,Monday,08:30/13:29,DZB / --,0,30,DUI_LS,30282,2024 - 2025 Yaz Dönemi
DNK 201E,Dynamics,Ünal Aldemir,Monday / Wednesday,08:30/12:29 / 08:30/11:29,INB / INB / A202 / A202,0,45,"INS_LS, INSE_LS",30317,2024 - 2025 Yaz Dönemi
DUI 103E,Seamanship,Orhan Gönel,Monday / Tuesday / Tuesday,13:30/15:59 / 12:30/16:29 / 08:30/11:29,DZB / DZB / DZB / -- / -- / --,0,30,DUI_LS,30280,2024 - 2025 Yaz Dönemi
DUI 251E,Meteorology,Ayşe Nak,Wednesday / Wednesday,08:30/11:29 / 12:30/16:29,DZB / DZB / -- / --,0,30,DUI_LS,30325,2024 - 2025 Yaz Dönemi
DUI 305E,Ship Hndl.and Manouvering,Cenk Ay,Tuesday / Tuesday,08:30/11:29 / 12:30/16:29,DZB / DZB / -- / --,0,30,DUI_LS,30286,2024 - 2025 Yaz Dönemi
DUI 311E,Celestial Navigation,Orhan Gönel,Wednesday / Wednesday,08:30/11:29 / 12:30/16:29,DZB / DZB / -- / --,0,30,DUI_LS,30285,2024 - 2025 Yaz Dönemi
DUI 407E,Cargo Handl and Stowage,Cenk Ay,Friday / Friday,08:30/12:29 / 14:00/16:59,DZB / DZB / -- / --,0,30,DUI_LS,30283,2024 - 2025 Yaz Dönemi
DUI 472,Oşinografi,Ayşe Nak,Thursday,08:30/13:29,DZB / --,0,30,DUI_LS,30281,2024 - 2025 Yaz Dönemi
EEF 211,Elektrik Devre Temelleri,Metin Hüner,Thursday / Friday,13:30/16:29 / 08:30/12:29,EEB / EEB / 5102 / 5102,0,55,"EHB_LS, ELK_LS, KOM_LS, ROS_LS",30265,2024 - 2025 Yaz Dönemi
EEF 211E,Basics of Electrical Circuits,Bilgi Görkem Yazgaç,Tuesday / Wednesday,13:30/17:29 / 09:30/12:29,EEB / EEB / 5102 / 5102,0,50,"EHBE_LS, ELKE_LS, KOME_LS, ROSE_LS",30266,2024 - 2025 Yaz Dönemi
EEF 212E,Electromagnetic Theory I,"Kamil Karaçuha , / Cemanur Aydınalp , / Semih Doğu",Monday / Monday / Friday,08:30/11:29 / 12:30/15:29 / 14:00/17:29,EEB / EEB / EEB / 5102 / 5102 / 5102,0,60,"EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",30268,2024 - 2025 Yaz Dönemi
EEF 232E,Circuit and System Analysis,Bilgi Görkem Yazgaç,Wednesday / Thursday,13:30/16:29 / 08:30/12:29,EEB / EEB / 5102 / 5102,0,50,"EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",30267,2024 - 2025 Yaz Dönemi
EHB 222E,Introduction to Electronics,Muhammet Tahir Güneşer,Tuesday / Tuesday,08:30/12:29 / 13:30/16:29,EEB / EEB / 5102 / 5104,0,50,"EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",30270,2024 - 2025 Yaz Dönemi
EHB 335E,Analog Electronic Circuits,Mustafa Berke Yelten,Tuesday / Wednesday / Thursday,09:00/10:59 / 08:30/10:59 / 08:30/10:59,EEB / EEB / EEB / 5104 / 5104 / 5104,0,60,"EHB_LS, EHBE_LS",30269,2024 - 2025 Yaz Dönemi
EKO 201E,Economics,Sinan Çakır,Thursday / Thursday,08:30/11:29 / 12:30/16:29,DZB / DZB / -- / --,0,20,"GMI_LS, MEN_LS",30272,2024 - 2025 Yaz Dönemi
FIZ 201E,Modern Physics,Mehmet Murat Sunar,Monday / Wednesday,13:30/16:59 / 13:30/16:59,FEB / FEB / D304 / D304,0,60,"CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, FIZ_YD, GEM_LS, GEME_LS, GEMK_LS, GMI_LS, GMIE_LS, JEF_LS, JEFE_LS, JEO_LS, JEOE_LS, MAD_LS, MADE_LS, MET_LS, METE_LS, MTO_LS, MTOE_LS, PET_LS, PETE_LS, UCK_LS, UZB_LS, UZB_YD, UZBE_LS",30163,2024 - 2025 Yaz Dönemi
GEM 445,Gemi Boru Donanımları,Osman Azmi Özsoysal,Tuesday / Wednesday,10:30/13:29 / 10:30/12:29,MEDC / MEDC / 1D5 / 1D5,0,30,GEM_LS,30180,2024 - 2025 Yaz Dönemi
GEO 203E,Coordinate Sys. and Geodesy I,Serdar Erol,Monday / Tuesday,08:30/13:29 / 13:30/17:59,INB / INB / B308 / B308,0,30,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30324,2024 - 2025 Yaz Dönemi
GEO 212E,Engineering Surveying,Mehmet İşiler,Thursday / Friday,13:30/16:29 / 08:30/12:29,INB / INB / D201 / D201,0,50,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30179,2024 - 2025 Yaz Dönemi
GEO 225E,Prob.and Stat. for Geom. Eng.,Mehmet İşiler,Thursday / Friday,08:30/13:29 / 14:00/15:59,INB / INB / D201 / D201,0,50,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30181,2024 - 2025 Yaz Dönemi
GEO 308,Taşınmaz Değerlemesi,Reha Metin Alkan,Tuesday,08:30/13:29,INB / B204,0,30,"GEO_LS, HTA_LS",30177,2024 - 2025 Yaz Dönemi
GEO 314E,Geodesy II and Projections,Serdar Erol,Monday / Tuesday,16:00/17:59 / 08:30/13:29,INB / INB / B308 / B308,0,50,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30323,2024 - 2025 Yaz Dönemi
GEO 322E,Land Management,Mehmet İşiler,Tuesday,08:30/13:29,INB / D201,0,30,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30182,2024 - 2025 Yaz Dönemi
GEO 476,Geo. Müh. Proje Planlama Yön.,Reha Metin Alkan,Thursday,08:30/13:29,INB / B204,0,30,"GEO_LS, HTA_LS",30178,2024 - 2025 Yaz Dönemi
GMI 228E,Basic Electronics,Tayfun Uyanık,Wednesday / Thursday,08:30/11:29 / 14:30/16:29,DZB / DZB / -- / --,0,20,"GMI_LS, MEN_LS",30273,2024 - 2025 Yaz Dönemi
GMI 341E,Automatic Control Systems,Tayfun Uyanık,Tuesday / Tuesday,08:30/11:29 / 12:30/16:29,DZB / DZB / -- / --,0,20,"GMI_LS, MEN_LS",30274,2024 - 2025 Yaz Dönemi
GMI 457E,Marine Electrotechnics,Tayfun Uyanık,Thursday / Thursday,08:30/11:29 / 12:30/14:29,DZB / DZB / -- / --,0,20,"GMI_LS, MEN_LS",30275,2024 - 2025 Yaz Dönemi
GMI 462E,Oper.of Steam&Gas Turbines,Yalçın Durmuşoğlu,Wednesday / Wednesday,08:30/11:29 / 12:30/14:29,DZB / DZB / -- / --,0,20,"GMI_LS, MEN_LS",30276,2024 - 2025 Yaz Dönemi
GMI 473E,Marine Diesel Engines III,Yalçın Durmuşoğlu,Monday / Monday,08:30/11:29 / 12:30/14:29,DZB / DZB / -- / --,0,20,"GMI_LS, MEN_LS",30277,2024 - 2025 Yaz Dönemi
GMI 481E,Marine Insurance,Sinan Çakır,Tuesday / Tuesday,08:30/11:29 / 12:30/14:29,DZB / DZB / -- / --,0,20,"GMI_LS, MEN_LS",30278,2024 - 2025 Yaz Dönemi
GMI 486E,Shipping Finance,Sinan Çakır,Friday / Friday,08:30/11:29 / 14:30/16:29,DZB / DZB / -- / --,0,20,"GMI_LS, MEN_LS",30279,2024 - 2025 Yaz Dönemi
ICM 366E,Interior Arch.Desgn Studio III,Ethem Gürer,Monday / Monday / Wednesday / Thursday / Thursday,08:30/12:29 / 13:30/17:29 / 08:30/12:29 / 08:30/12:29 / 13:30/16:29,MMB / MMB / MMB / MMB / MMB / -- / -- / -- / -- / --,0,7,"IAD_LS, ICM_LS",30288,2024 - 2025 Yaz Dönemi
ICM 449E,Interior Arch.Desgn Studio IV,Ethem Gürer,Tuesday / Tuesday / Wednesday / Friday / Friday,08:30/12:29 / 13:30/17:29 / 13:30/17:29 / 08:30/12:29 / 14:30/17:29,MMB / MMB / MMB / MMB / MMB / -- / -- / -- / -- / --,0,7,"IAD_LS, ICM_LS",30289,2024 - 2025 Yaz Dönemi
ING 100,EAP Through Global Goals,Merve Sevtap Süren,Wednesday / Thursday,09:00/11:59 / 09:00/12:59,MED / MED / -- / --,0,25,"ARC_LS, BIOE_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EEE_LS, EFN_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IAD_LS, IBM_LS, ICM_LS, IND_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MMD_LS, MTO_LS, NAE_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30122,2024 - 2025 Yaz Dönemi
ING 100,EAP Through Global Goals,Merve Sevtap Süren,Wednesday / Thursday,13:00/16:59 / 13:00/15:59,MED / MED / -- / --,0,25,"ARC_LS, BIOE_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EEE_LS, EFN_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IAD_LS, IBM_LS, ICM_LS, IND_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MMD_LS, MTO_LS, NAE_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30128,2024 - 2025 Yaz Dönemi
ING 100,EAP Through Global Goals,Yasemin Yılmaz Yüksek,Monday / Wednesday,09:00/11:59 / 09:00/12:59,MED / MED / -- / --,0,25,"ARC_LS, BIOE_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EEE_LS, EFN_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IAD_LS, IBM_LS, ICM_LS, IND_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MMD_LS, MTO_LS, NAE_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30130,2024 - 2025 Yaz Dönemi
ING 112A,Basics of Academic Writing,Zarife Zeliş Çoban,Wednesday / Thursday,14:00/16:29 / 14:00/16:29,MED / MED / -- / --,0,25,"ARC_LS, BIOE_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EEE_LS, EFN_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IAD_LS, IBM_LS, ICM_LS, IND_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MMD_LS, MTO_LS, NAE_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30131,2024 - 2025 Yaz Dönemi
ING 112A,Basics of Academic Writing,Halime Ceren Göktaş,Monday / Wednesday,09:00/11:29 / 09:00/11:29,MED / MED / -- / --,0,25,"ARC_LS, BIOE_LS, BLG_LS, BLGE_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EEE_LS, EFN_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IAD_LS, IBM_LS, ICM_LS, IND_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MMD_LS, MTO_LS, NAE_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30133,2024 - 2025 Yaz Dönemi
